trial,records,payload_max,cutoff,threads,nodes,total_ranks,generate_unsorted_ms,reading_ms,reading_and_sorting_ms,writing_ms,check_if_sorted_ms,sorted
1,10000000,32,10000,32,8,8,0.722,671.577,1396.914,2743.922,173.566,1
1,10000000,128,10000,1,8,8,0.941,1408.241,2253.935,6783.075,354.276,1
1,10000000,128,10000,2,8,8,0.959,1459.210,2264.105,6857.079,364.693,1
1,10000000,128,10000,4,8,8,0.937,1429.119,2225.128,6625.185,366.595,1
1,10000000,128,10000,8,8,8,1.006,1437.794,2199.981,6724.440,355.344,1
1,10000000,128,10000,16,8,8,0.953,1430.142,2180.670,6682.746,361.153,1
1,10000000,128,10000,32,8,8,0.745,1356.159,2101.799,6341.911,314.672,1
1,100000000,8,10000,1,8,8,1.076,5398.727,14233.614,20279.951,830.134,1
1,100000000,8,10000,2,8,8,0.877,5323.692,13609.506,20490.871,864.086,1
1,100000000,8,10000,4,8,8,0.996,5382.929,13361.838,19347.704,872.764,1
1,100000000,8,10000,8,8,8,0.874,5345.840,12911.561,19131.980,839.397,1
1,100000000,8,10000,16,8,8,0.936,5315.245,12721.014,20546.859,847.196,1
1,100000000,8,10000,32,8,8,0.812,4972.457,12065.228,19209.092,828.066,1
1,100000000,32,10000,1,8,8,0.914,7155.133,15977.200,30034.741,1422.937,1
1,100000000,32,10000,2,8,8,0.880,7115.674,15414.317,119959.353,1413.592,1
1,100000000,32,10000,4,8,8,1.004,7161.072,15074.090,30358.677,1415.723,1
1,100000000,32,10000,8,8,8,0.907,7283.522,14890.911,117279.784,1441.012,1
1,100000000,32,10000,16,8,8,0.936,7106.043,14503.928,114648.623,1432.809,1
1,100000000,32,10000,32,8,8,0.840,6673.780,13794.378,109831.734,1381.341,1
1,100000000,128,10000,1,8,8,0.832,16901.061,25710.962,281125.220,3310.835,1
1,100000000,128,10000,2,8,8,0.907,13793.420,22135.699,193948.155,3239.137,1
1,100000000,128,10000,4,8,8,0.835,14033.112,21973.501,70503.296,3246.355,1
1,100000000,128,10000,8,8,8,1.007,14075.826,21709.103,74679.251,3263.997,1
1,100000000,128,10000,16,8,8,0.859,14126.971,21553.488,271889.813,3261.189,1
1,100000000,128,10000,32,8,8,0.759,13101.915,20207.054,274085.991,3050.672,1
